datetime,date,hour,power_watts,voltage,current,panel_temp_c,ambient_temp_c,irradiance_wm2,tilt_angle,azimuth_angle,efficiency
2024-01-15 06:00:00,2024-01-15,6,0,0,0,22,22,0,15,180,0
2024-01-15 07:00:00,2024-01-15,7,125,320,0.39,24,23,150,15,180,8.3
2024-01-15 08:00:00,2024-01-15,8,580,355,1.63,28,25,420,15,180,13.8
2024-01-15 09:00:00,2024-01-15,9,1250,372,3.36,32,27,680,15,180,18.4
2024-01-15 10:00:00,2024-01-15,10,1820,380,4.79,36,29,850,15,180,21.4
2024-01-15 11:00:00,2024-01-15,11,2180,385,5.66,39,31,950,15,180,22.9
2024-01-15 12:00:00,2024-01-15,12,2350,388,6.06,41,32,1000,15,180,23.5
2024-01-15 13:00:00,2024-01-15,13,2280,386,5.91,42,32,980,15,180,23.3
2024-01-15 14:00:00,2024-01-15,14,1950,382,5.10,40,31,890,15,180,21.9
2024-01-15 15:00:00,2024-01-15,15,1480,375,3.95,37,29,720,15,180,20.6
2024-01-15 16:00:00,2024-01-15,16,890,360,2.47,33,27,480,15,180,18.5
2024-01-15 17:00:00,2024-01-15,17,320,340,0.94,28,25,220,15,180,14.5
2024-01-15 18:00:00,2024-01-15,18,45,280,0.16,24,23,50,15,180,9.0
2024-01-16 06:00:00,2024-01-16,6,0,0,0,21,21,0,15,180,0
2024-01-16 07:00:00,2024-01-16,7,115,318,0.36,23,22,140,15,180,8.2
2024-01-16 08:00:00,2024-01-16,8,545,352,1.55,27,24,400,15,180,13.6
2024-01-16 09:00:00,2024-01-16,9,1180,370,3.19,31,26,650,15,180,18.2
2024-01-16 10:00:00,2024-01-16,10,1720,378,4.55,35,28,820,15,180,21.0
2024-01-16 11:00:00,2024-01-16,11,2080,383,5.43,38,30,920,15,180,22.6
2024-01-16 12:00:00,2024-01-16,12,2250,386,5.83,40,31,970,15,180,23.2
2024-01-16 13:00:00,2024-01-16,13,2180,384,5.68,41,31,950,15,180,22.9
2024-01-16 14:00:00,2024-01-16,14,1850,380,4.87,39,30,860,15,180,21.5
2024-01-16 15:00:00,2024-01-16,15,1380,373,3.70,36,28,690,15,180,20.0
2024-01-16 16:00:00,2024-01-16,16,820,358,2.29,32,26,450,15,180,18.2
2024-01-16 17:00:00,2024-01-16,17,285,338,0.84,27,24,200,15,180,14.3
2024-01-16 18:00:00,2024-01-16,18,35,275,0.13,23,22,40,15,180,8.8
2024-06-21 05:00:00,2024-06-21,5,0,0,0,26,26,0,15,180,0
2024-06-21 06:00:00,2024-06-21,6,180,325,0.55,28,27,200,15,180,9.0
2024-06-21 07:00:00,2024-06-21,7,650,358,1.82,31,29,520,15,180,12.5
2024-06-21 08:00:00,2024-06-21,8,1150,372,3.09,35,31,750,15,180,15.3
2024-06-21 09:00:00,2024-06-21,9,1580,380,4.16,39,33,920,15,180,17.2
2024-06-21 10:00:00,2024-06-21,10,1850,385,4.81,42,35,1020,15,180,18.1
2024-06-21 11:00:00,2024-06-21,11,1980,387,5.12,45,36,1080,15,180,18.3
2024-06-21 12:00:00,2024-06-21,12,2020,388,5.21,47,37,1100,15,180,18.4
2024-06-21 13:00:00,2024-06-21,13,1950,386,5.05,48,37,1070,15,180,18.2
2024-06-21 14:00:00,2024-06-21,14,1780,383,4.65,46,36,990,15,180,18.0
2024-06-21 15:00:00,2024-06-21,15,1520,378,4.02,43,34,880,15,180,17.3
2024-06-21 16:00:00,2024-06-21,16,1180,370,3.19,39,32,720,15,180,16.4
2024-06-21 17:00:00,2024-06-21,17,750,355,2.11,34,30,500,15,180,15.0
2024-06-21 18:00:00,2024-06-21,18,320,335,0.96,30,28,250,15,180,12.8
2024-06-21 19:00:00,2024-06-21,19,50,290,0.17,27,27,60,15,180,8.3
