datetime,date,hour,power_watts,voltage,current,panel_temp_c,ambient_temp_c,irradiance_wm2,tilt_angle,azimuth_angle,efficiency
2024-01-15 06:00:00,2024-01-15,6,0,0,0,22,22,0,30,180,0
2024-01-15 07:00:00,2024-01-15,7,185,328,0.56,24,23,150,30,180,12.3
2024-01-15 08:00:00,2024-01-15,8,780,365,2.14,28,25,420,30,180,18.6
2024-01-15 09:00:00,2024-01-15,9,1520,378,4.02,32,27,680,30,180,22.4
2024-01-15 10:00:00,2024-01-15,10,2150,385,5.58,36,29,850,30,180,25.3
2024-01-15 11:00:00,2024-01-15,11,2520,390,6.46,39,31,950,30,180,26.5
2024-01-15 12:00:00,2024-01-15,12,2680,392,6.84,41,32,1000,30,180,26.8
2024-01-15 13:00:00,2024-01-15,13,2590,390,6.64,42,32,980,30,180,26.4
2024-01-15 14:00:00,2024-01-15,14,2280,387,5.89,40,31,890,30,180,25.6
2024-01-15 15:00:00,2024-01-15,15,1780,380,4.68,37,29,720,30,180,24.7
2024-01-15 16:00:00,2024-01-15,16,1120,368,3.04,33,27,480,30,180,23.3
2024-01-15 17:00:00,2024-01-15,17,450,348,1.29,28,25,220,30,180,20.5
2024-01-15 18:00:00,2024-01-15,18,75,295,0.25,24,23,50,30,180,15.0
2024-01-16 06:00:00,2024-01-16,6,0,0,0,21,21,0,30,180,0
2024-01-16 07:00:00,2024-01-16,7,175,325,0.54,23,22,140,30,180,12.5
2024-01-16 08:00:00,2024-01-16,8,740,362,2.04,27,24,400,30,180,18.5
2024-01-16 09:00:00,2024-01-16,9,1450,376,3.86,31,26,650,30,180,22.3
2024-01-16 10:00:00,2024-01-16,10,2050,383,5.35,35,28,820,30,180,25.0
2024-01-16 11:00:00,2024-01-16,11,2420,388,6.24,38,30,920,30,180,26.3
2024-01-16 12:00:00,2024-01-16,12,2580,391,6.60,40,31,970,30,180,26.6
2024-01-16 13:00:00,2024-01-16,13,2490,389,6.40,41,31,950,30,180,26.2
2024-01-16 14:00:00,2024-01-16,14,2180,385,5.66,39,30,860,30,180,25.3
2024-01-16 15:00:00,2024-01-16,15,1680,378,4.44,36,28,690,30,180,24.3
2024-01-16 16:00:00,2024-01-16,16,1050,365,2.88,32,26,450,30,180,23.3
2024-01-16 17:00:00,2024-01-16,17,420,345,1.22,27,24,200,30,180,21.0
2024-01-16 18:00:00,2024-01-16,18,65,288,0.23,23,22,40,30,180,16.3
2024-06-21 05:00:00,2024-06-21,5,0,0,0,26,26,0,0,180,0
2024-06-21 06:00:00,2024-06-21,6,220,332,0.66,28,27,200,0,180,11.0
2024-06-21 07:00:00,2024-06-21,7,780,365,2.14,31,29,520,0,180,15.0
2024-06-21 08:00:00,2024-06-21,8,1350,378,3.57,35,31,750,0,180,18.0
2024-06-21 09:00:00,2024-06-21,9,1820,385,4.73,39,33,920,0,180,19.8
2024-06-21 10:00:00,2024-06-21,10,2120,390,5.44,42,35,1020,0,180,20.8
2024-06-21 11:00:00,2024-06-21,11,2280,392,5.82,45,36,1080,0,180,21.1
2024-06-21 12:00:00,2024-06-21,12,2350,393,5.98,47,37,1100,0,180,21.4
2024-06-21 13:00:00,2024-06-21,13,2250,391,5.76,48,37,1070,0,180,21.0
2024-06-21 14:00:00,2024-06-21,14,2080,388,5.36,46,36,990,0,180,21.0
2024-06-21 15:00:00,2024-06-21,15,1780,383,4.65,43,34,880,0,180,20.2
2024-06-21 16:00:00,2024-06-21,16,1420,375,3.79,39,32,720,0,180,19.7
2024-06-21 17:00:00,2024-06-21,17,950,362,2.62,34,30,500,0,180,19.0
2024-06-21 18:00:00,2024-06-21,18,420,342,1.23,30,28,250,0,180,16.8
2024-06-21 19:00:00,2024-06-21,19,80,298,0.27,27,27,60,0,180,13.3
