Datetime,Date,Year,Month,Month_Name,Day,Day_of_Year,Hour,Weekday,Solar_Elevation_Deg,Solar_Azimuth_Deg,Solar_Zenith_Deg,Is_Daylight,Season,Recommended_Fixed_Tilt_Deg,Optimal_Tracking_Tilt_Deg,Recommended_Fixed_Azimuth_Deg,Optimal_Tracking_Azimuth_Deg
2024-01-01 00:00:00+05:30,2024-01-01,2024,1,January,1,1,0,Monday,-78.29,227.54,168.29,False,Winter,30,,180,
2024-01-01 01:00:00+05:30,2024-01-01,2024,1,January,1,1,1,Monday,-80.66,146.2,170.66,False,Winter,30,,180,
2024-01-01 02:00:00+05:30,2024-01-01,2024,1,January,1,1,2,Monday,-69.1,114.73,159.1,False,Winter,30,,180,
2024-01-01 03:00:00+05:30,2024-01-01,2024,1,January,1,1,3,Monday,-55.6,108.5,145.6,False,Winter,30,,180,
2024-01-01 04:00:00+05:30,2024-01-01,2024,1,January,1,1,4,Monday,-41.83,107.39,131.83,False,Winter,30,,180,
2024-01-01 05:00:00+05:30,2024-01-01,2024,1,January,1,1,5,Monday,-28.05,108.28,118.05,False,Winter,30,,180,
2024-01-01 06:00:00+05:30,2024-01-01,2024,1,January,1,1,6,Monday,-14.41,110.41,104.41,False,Winter,30,,180,
2024-01-01 07:00:00+05:30,2024-01-01,2024,1,January,1,1,7,Monday,-1.0,113.67,91.0,False,Winter,30,,180,
2024-01-01 08:00:00+05:30,2024-01-01,2024,1,January,1,1,8,Monday,12.01,118.28,77.99,True,Winter,30,77.99,180,118.28
2024-01-01 09:00:00+05:30,2024-01-01,2024,1,January,1,1,9,Monday,24.36,124.77,65.64,True,Winter,30,65.64,180,124.77
2024-01-01 10:00:00+05:30,2024-01-01,2024,1,January,1,1,10,Monday,35.56,134.09,54.44,True,Winter,30,54.44,180,134.09
2024-01-01 11:00:00+05:30,2024-01-01,2024,1,January,1,1,11,Monday,44.75,147.61,45.25,True,Winter,30,45.25,180,147.61
2024-01-01 12:00:00+05:30,2024-01-01,2024,1,January,1,1,12,Monday,50.48,166.3,39.52,True,Winter,30,39.52,180,166.3
2024-01-01 13:00:00+05:30,2024-01-01,2024,1,January,1,1,13,Monday,51.19,188.2,38.81,True,Winter,30,38.81,180,188.2
2024-01-01 14:00:00+05:30,2024-01-01,2024,1,January,1,1,14,Monday,46.63,208.08,43.37,True,Winter,30,43.37,180,208.08
2024-01-01 15:00:00+05:30,2024-01-01,2024,1,January,1,1,15,Monday,38.17,222.91,51.83,True,Winter,30,51.83,180,222.91
2024-01-01 16:00:00+05:30,2024-01-01,2024,1,January,1,1,16,Monday,27.38,233.17,62.62,True,Winter,30,62.62,180,233.17
2024-01-01 17:00:00+05:30,2024-01-01,2024,1,January,1,1,17,Monday,15.27,240.29,74.73,True,Winter,30,74.73,180,240.29
2024-01-01 18:00:00+05:30,2024-01-01,2024,1,January,1,1,18,Monday,2.4,245.32,87.6,True,Winter,30,87.6,180,245.32
2024-01-01 19:00:00+05:30,2024-01-01,2024,1,January,1,1,19,Monday,-10.92,248.91,100.92,False,Winter,30,,180,
2024-01-01 20:00:00+05:30,2024-01-01,2024,1,January,1,1,20,Monday,-24.53,251.33,114.53,False,Winter,30,,180,
2024-01-01 21:00:00+05:30,2024-01-01,2024,1,January,1,1,21,Monday,-38.28,252.59,128.28,False,Winter,30,,180,
2024-01-01 22:00:00+05:30,2024-01-01,2024,1,January,1,1,22,Monday,-52.07,252.17,142.07,False,Winter,30,,180,
2024-01-01 23:00:00+05:30,2024-01-01,2024,1,January,1,1,23,Monday,-65.7,247.96,155.7,False,Winter,30,,180,
2024-01-02 00:00:00+05:30,2024-01-02,2024,1,January,2,2,0,Tuesday,-78.26,228.18,168.26,False,Winter,30,,180,
2024-01-02 01:00:00+05:30,2024-01-02,2024,1,January,2,2,1,Tuesday,-80.79,146.47,170.79,False,Winter,30,,180,
2024-01-02 02:00:00+05:30,2024-01-02,2024,1,January,2,2,2,Tuesday,-69.22,114.61,159.22,False,Winter,30,,180,
2024-01-02 03:00:00+05:30,2024-01-02,2024,1,January,2,2,3,Tuesday,-55.71,108.38,145.71,False,Winter,30,,180,
2024-01-02 04:00:00+05:30,2024-01-02,2024,1,January,2,2,4,Tuesday,-41.93,107.28,131.93,False,Winter,30,,180,
2024-01-02 05:00:00+05:30,2024-01-02,2024,1,January,2,2,5,Tuesday,-28.15,108.18,118.15,False,Winter,30,,180,
2024-01-02 06:00:00+05:30,2024-01-02,2024,1,January,2,2,6,Tuesday,-14.5,110.3,104.5,False,Winter,30,,180,
2024-01-02 07:00:00+05:30,2024-01-02,2024,1,January,2,2,7,Tuesday,-1.08,113.56,91.08,False,Winter,30,,180,
2024-01-02 08:00:00+05:30,2024-01-02,2024,1,January,2,2,8,Tuesday,11.94,118.16,78.06,True,Winter,30,78.06,180,118.16
2024-01-02 09:00:00+05:30,2024-01-02,2024,1,January,2,2,9,Tuesday,24.3,124.64,65.7,True,Winter,30,65.7,180,124.64
2024-01-02 10:00:00+05:30,2024-01-02,2024,1,January,2,2,10,Tuesday,35.53,133.93,54.47,True,Winter,30,54.47,180,133.93
2024-01-02 11:00:00+05:30,2024-01-02,2024,1,January,2,2,11,Tuesday,44.75,147.42,45.25,True,Winter,30,45.25,180,147.42
2024-01-02 12:00:00+05:30,2024-01-02,2024,1,January,2,2,12,Tuesday,50.53,166.11,39.47,True,Winter,30,39.47,180,166.11
2024-01-02 13:00:00+05:30,2024-01-02,2024,1,January,2,2,13,Tuesday,51.29,188.04,38.71,True,Winter,30,38.71,180,188.04
2024-01-02 14:00:00+05:30,2024-01-02,2024,1,January,2,2,14,Tuesday,46.75,208.01,43.25,True,Winter,30,43.25,180,208.01
2024-01-02 15:00:00+05:30,2024-01-02,2024,1,January,2,2,15,Tuesday,38.3,222.89,51.7,True,Winter,30,51.7,180,222.89
2024-01-02 16:00:00+05:30,2024-01-02,2024,1,January,2,2,16,Tuesday,27.52,233.18,62.48,True,Winter,30,62.48,180,233.18
