Datetime,Date,Year,Month,Month_Name,Day,Day_of_Year,Hour,Weekday,Solar_Elevation_Deg,Solar_Azimuth_Deg,Solar_Zenith_Deg,Is_Daylight,Season,Recommended_Fixed_Tilt_Deg,Optimal_Tracking_Tilt_Deg,Recommended_Fixed_Azimuth_Deg,Optimal_Tracking_Azimuth_Deg
2024-01-01 08:00:00+05:30,2024-01-01,2024,1,January,1,1,8,Monday,12.01,118.28,77.99,True,Winter,30,77.99,180,118.28
2024-01-01 09:00:00+05:30,2024-01-01,2024,1,January,1,1,9,Monday,24.36,124.77,65.64,True,Winter,30,65.64,180,124.77
2024-01-01 10:00:00+05:30,2024-01-01,2024,1,January,1,1,10,Monday,35.56,134.09,54.44,True,Winter,30,54.44,180,134.09
2024-01-01 11:00:00+05:30,2024-01-01,2024,1,January,1,1,11,Monday,44.75,147.61,45.25,True,Winter,30,45.25,180,147.61
2024-01-01 12:00:00+05:30,2024-01-01,2024,1,January,1,1,12,Monday,50.48,166.3,39.52,True,Winter,30,39.52,180,166.3
2024-01-01 13:00:00+05:30,2024-01-01,2024,1,January,1,1,13,Monday,51.19,188.2,38.81,True,Winter,30,38.81,180,188.2
2024-01-01 14:00:00+05:30,2024-01-01,2024,1,January,1,1,14,Monday,46.63,208.08,43.37,True,Winter,30,43.37,180,208.08
2024-01-01 15:00:00+05:30,2024-01-01,2024,1,January,1,1,15,Monday,38.17,222.91,51.83,True,Winter,30,51.83,180,222.91
2024-01-01 16:00:00+05:30,2024-01-01,2024,1,January,1,1,16,Monday,27.38,233.17,62.62,True,Winter,30,62.62,180,233.17
2024-01-01 17:00:00+05:30,2024-01-01,2024,1,January,1,1,17,Monday,15.27,240.29,74.73,True,Winter,30,74.73,180,240.29
2024-01-01 18:00:00+05:30,2024-01-01,2024,1,January,1,1,18,Monday,2.4,245.32,87.6,True,Winter,30,87.6,180,245.32
2024-01-02 08:00:00+05:30,2024-01-02,2024,1,January,2,2,8,Tuesday,11.94,118.16,78.06,True,Winter,30,78.06,180,118.16
2024-01-02 09:00:00+05:30,2024-01-02,2024,1,January,2,2,9,Tuesday,24.3,124.64,65.7,True,Winter,30,65.7,180,124.64
2024-01-02 10:00:00+05:30,2024-01-02,2024,1,January,2,2,10,Tuesday,35.53,133.93,54.47,True,Winter,30,54.47,180,133.93
2024-01-02 11:00:00+05:30,2024-01-02,2024,1,January,2,2,11,Tuesday,44.75,147.42,45.25,True,Winter,30,45.25,180,147.42
2024-01-02 12:00:00+05:30,2024-01-02,2024,1,January,2,2,12,Tuesday,50.53,166.11,39.47,True,Winter,30,39.47,180,166.11
2024-01-02 13:00:00+05:30,2024-01-02,2024,1,January,2,2,13,Tuesday,51.29,188.04,38.71,True,Winter,30,38.71,180,188.04
2024-01-02 14:00:00+05:30,2024-01-02,2024,1,January,2,2,14,Tuesday,46.75,208.01,43.25,True,Winter,30,43.25,180,208.01
2024-01-02 15:00:00+05:30,2024-01-02,2024,1,January,2,2,15,Tuesday,38.3,222.89,51.7,True,Winter,30,51.7,180,222.89
2024-01-02 16:00:00+05:30,2024-01-02,2024,1,January,2,2,16,Tuesday,27.52,233.18,62.48,True,Winter,30,62.48,180,233.18
2024-01-02 17:00:00+05:30,2024-01-02,2024,1,January,2,2,17,Tuesday,15.41,240.32,74.59,True,Winter,30,74.59,180,240.32
2024-01-02 18:00:00+05:30,2024-01-02,2024,1,January,2,2,18,Tuesday,2.53,245.37,87.47,True,Winter,30,87.47,180,245.37
2024-01-03 08:00:00+05:30,2024-01-03,2024,1,January,3,3,8,Wednesday,11.88,118.03,78.12,True,Winter,30,78.12,180,118.03
2024-01-03 09:00:00+05:30,2024-01-03,2024,1,January,3,3,9,Wednesday,24.26,124.49,65.74,True,Winter,30,65.74,180,124.49
2024-01-03 10:00:00+05:30,2024-01-03,2024,1,January,3,3,10,Wednesday,35.51,133.76,54.49,True,Winter,30,54.49,180,133.76
2024-01-03 11:00:00+05:30,2024-01-03,2024,1,January,3,3,11,Wednesday,44.77,147.22,45.23,True,Winter,30,45.23,180,147.22
2024-01-03 12:00:00+05:30,2024-01-03,2024,1,January,3,3,12,Wednesday,50.59,165.91,39.41,True,Winter,30,39.41,180,165.91
2024-01-03 13:00:00+05:30,2024-01-03,2024,1,January,3,3,13,Wednesday,51.39,187.9,38.61,True,Winter,30,38.61,180,187.9
2024-01-03 14:00:00+05:30,2024-01-03,2024,1,January,3,3,14,Wednesday,46.88,207.94,43.12,True,Winter,30,43.12,180,207.94
2024-01-03 15:00:00+05:30,2024-01-03,2024,1,January,3,3,15,Wednesday,38.44,222.87,51.56,True,Winter,30,51.56,180,222.87
2024-01-03 16:00:00+05:30,2024-01-03,2024,1,January,3,3,16,Wednesday,27.66,233.2,62.34,True,Winter,30,62.34,180,233.2
2024-01-03 17:00:00+05:30,2024-01-03,2024,1,January,3,3,17,Wednesday,15.54,240.36,74.46,True,Winter,30,74.46,180,240.36
2024-01-03 18:00:00+05:30,2024-01-03,2024,1,January,3,3,18,Wednesday,2.66,245.43,87.34,True,Winter,30,87.34,180,245.43
2024-01-04 08:00:00+05:30,2024-01-04,2024,1,January,4,4,8,Thursday,11.82,117.9,78.18,True,Winter,30,78.18,180,117.9
2024-01-04 09:00:00+05:30,2024-01-04,2024,1,January,4,4,9,Thursday,24.21,124.34,65.79,True,Winter,30,65.79,180,124.34
2024-01-04 10:00:00+05:30,2024-01-04,2024,1,January,4,4,10,Thursday,35.49,133.59,54.51,True,Winter,30,54.51,180,133.59
2024-01-04 11:00:00+05:30,2024-01-04,2024,1,January,4,4,11,Thursday,44.79,147.02,45.21,True,Winter,30,45.21,180,147.02
2024-01-04 12:00:00+05:30,2024-01-04,2024,1,January,4,4,12,Thursday,50.66,165.7,39.34,True,Winter,30,39.34,180,165.7
2024-01-04 13:00:00+05:30,2024-01-04,2024,1,January,4,4,13,Thursday,51.5,187.75,38.5,True,Winter,30,38.5,180,187.75
2024-01-04 14:00:00+05:30,2024-01-04,2024,1,January,4,4,14,Thursday,47.02,207.87,42.98,True,Winter,30,42.98,180,207.87
2024-01-04 15:00:00+05:30,2024-01-04,2024,1,January,4,4,15,Thursday,38.59,222.87,51.41,True,Winter,30,51.41,180,222.87
2024-01-04 16:00:00+05:30,2024-01-04,2024,1,January,4,4,16,Thursday,27.8,233.23,62.2,True,Winter,30,62.2,180,233.23
2024-01-04 17:00:00+05:30,2024-01-04,2024,1,January,4,4,17,Thursday,15.68,240.41,74.32,True,Winter,30,74.32,180,240.41
2024-01-04 18:00:00+05:30,2024-01-04,2024,1,January,4,4,18,Thursday,2.79,245.49,87.21,True,Winter,30,87.21,180,245.49
2024-01-05 08:00:00+05:30,2024-01-05,2024,1,January,5,5,8,Friday,11.76,117.76,78.24,True,Winter,30,78.24,180,117.76
2024-01-05 09:00:00+05:30,2024-01-05,2024,1,January,5,5,9,Friday,24.18,124.19,65.82,True,Winter,30,65.82,180,124.19
2024-01-05 10:00:00+05:30,2024-01-05,2024,1,January,5,5,10,Friday,35.48,133.4,54.52,True,Winter,30,54.52,180,133.4
2024-01-05 11:00:00+05:30,2024-01-05,2024,1,January,5,5,11,Friday,44.81,146.82,45.19,True,Winter,30,45.19,180,146.82
2024-01-05 12:00:00+05:30,2024-01-05,2024,1,January,5,5,12,Friday,50.73,165.5,39.27,True,Winter,30,39.27,180,165.5
2024-01-05 13:00:00+05:30,2024-01-05,2024,1,January,5,5,13,Friday,51.62,187.61,38.38,True,Winter,30,38.38,180,187.61
2024-01-05 14:00:00+05:30,2024-01-05,2024,1,January,5,5,14,Friday,47.17,207.81,42.83,True,Winter,30,42.83,180,207.81
2024-01-05 15:00:00+05:30,2024-01-05,2024,1,January,5,5,15,Friday,38.74,222.87,51.26,True,Winter,30,51.26,180,222.87
2024-01-05 16:00:00+05:30,2024-01-05,2024,1,January,5,5,16,Friday,27.95,233.27,62.05,True,Winter,30,62.05,180,233.27
2024-01-05 17:00:00+05:30,2024-01-05,2024,1,January,5,5,17,Friday,15.82,240.46,74.18,True,Winter,30,74.18,180,240.46
2024-01-05 18:00:00+05:30,2024-01-05,2024,1,January,5,5,18,Friday,2.93,245.56,87.07,True,Winter,30,87.07,180,245.56
2024-01-06 08:00:00+05:30,2024-01-06,2024,1,January,6,6,8,Saturday,11.71,117.62,78.29,True,Winter,30,78.29,180,117.62
2024-01-06 09:00:00+05:30,2024-01-06,2024,1,January,6,6,9,Saturday,24.14,124.02,65.86,True,Winter,30,65.86,180,124.02
2024-01-06 10:00:00+05:30,2024-01-06,2024,1,January,6,6,10,Saturday,35.47,133.22,54.53,True,Winter,30,54.53,180,133.22
2024-01-06 11:00:00+05:30,2024-01-06,2024,1,January,6,6,11,Saturday,44.85,146.61,45.15,True,Winter,30,45.15,180,146.61
2024-01-06 12:00:00+05:30,2024-01-06,2024,1,January,6,6,12,Saturday,50.82,165.3,39.18,True,Winter,30,39.18,180,165.3
2024-01-06 13:00:00+05:30,2024-01-06,2024,1,January,6,6,13,Saturday,51.75,187.47,38.25,True,Winter,30,38.25,180,187.47
2024-01-06 14:00:00+05:30,2024-01-06,2024,1,January,6,6,14,Saturday,47.31,207.76,42.69,True,Winter,30,42.69,180,207.76
2024-01-06 15:00:00+05:30,2024-01-06,2024,1,January,6,6,15,Saturday,38.89,222.88,51.11,True,Winter,30,51.11,180,222.88
2024-01-06 16:00:00+05:30,2024-01-06,2024,1,January,6,6,16,Saturday,28.09,233.31,61.91,True,Winter,30,61.91,180,233.31
2024-01-06 17:00:00+05:30,2024-01-06,2024,1,January,6,6,17,Saturday,15.96,240.53,74.04,True,Winter,30,74.04,180,240.53
2024-01-06 18:00:00+05:30,2024-01-06,2024,1,January,6,6,18,Saturday,3.06,245.64,86.94,True,Winter,30,86.94,180,245.64
2024-01-07 08:00:00+05:30,2024-01-07,2024,1,January,7,7,8,Sunday,11.66,117.47,78.34,True,Winter,30,78.34,180,117.47
2024-01-07 09:00:00+05:30,2024-01-07,2024,1,January,7,7,9,Sunday,24.11,123.85,65.89,True,Winter,30,65.89,180,123.85
2024-01-07 10:00:00+05:30,2024-01-07,2024,1,January,7,7,10,Sunday,35.47,133.02,54.53,True,Winter,30,54.53,180,133.02
2024-01-07 11:00:00+05:30,2024-01-07,2024,1,January,7,7,11,Sunday,44.89,146.39,45.11,True,Winter,30,45.11,180,146.39
2024-01-07 12:00:00+05:30,2024-01-07,2024,1,January,7,7,12,Sunday,50.91,165.09,39.09,True,Winter,30,39.09,180,165.09
2024-01-07 13:00:00+05:30,2024-01-07,2024,1,January,7,7,13,Sunday,51.88,187.33,38.12,True,Winter,30,38.12,180,187.33
2024-01-07 14:00:00+05:30,2024-01-07,2024,1,January,7,7,14,Sunday,47.47,207.72,42.53,True,Winter,30,42.53,180,207.72
2024-01-07 15:00:00+05:30,2024-01-07,2024,1,January,7,7,15,Sunday,39.05,222.9,50.95,True,Winter,30,50.95,180,222.9
2024-01-07 16:00:00+05:30,2024-01-07,2024,1,January,7,7,16,Sunday,28.25,233.37,61.75,True,Winter,30,61.75,180,233.37
2024-01-07 17:00:00+05:30,2024-01-07,2024,1,January,7,7,17,Sunday,16.1,240.6,73.9,True,Winter,30,73.9,180,240.6
2024-01-07 18:00:00+05:30,2024-01-07,2024,1,January,7,7,18,Sunday,3.19,245.72,86.81,True,Winter,30,86.81,180,245.72
2024-01-08 08:00:00+05:30,2024-01-08,2024,1,January,8,8,8,Monday,11.61,117.31,78.39,True,Winter,30,78.39,180,117.31
2024-01-08 09:00:00+05:30,2024-01-08,2024,1,January,8,8,9,Monday,24.09,123.68,65.91,True,Winter,30,65.91,180,123.68
2024-01-08 10:00:00+05:30,2024-01-08,2024,1,January,8,8,10,Monday,35.48,132.83,54.52,True,Winter,30,54.52,180,132.83
2024-01-08 11:00:00+05:30,2024-01-08,2024,1,January,8,8,11,Monday,44.93,146.17,45.07,True,Winter,30,45.07,180,146.17
2024-01-08 12:00:00+05:30,2024-01-08,2024,1,January,8,8,12,Monday,51.0,164.88,39.0,True,Winter,30,39.0,180,164.88
2024-01-08 13:00:00+05:30,2024-01-08,2024,1,January,8,8,13,Monday,52.02,187.2,37.98,True,Winter,30,37.98,180,187.2
2024-01-08 14:00:00+05:30,2024-01-08,2024,1,January,8,8,14,Monday,47.63,207.68,42.37,True,Winter,30,42.37,180,207.68
2024-01-08 15:00:00+05:30,2024-01-08,2024,1,January,8,8,15,Monday,39.21,222.93,50.79,True,Winter,30,50.79,180,222.93
2024-01-08 16:00:00+05:30,2024-01-08,2024,1,January,8,8,16,Monday,28.4,233.43,61.6,True,Winter,30,61.6,180,233.43
2024-01-08 17:00:00+05:30,2024-01-08,2024,1,January,8,8,17,Monday,16.25,240.68,73.75,True,Winter,30,73.75,180,240.68
2024-01-08 18:00:00+05:30,2024-01-08,2024,1,January,8,8,18,Monday,3.33,245.81,86.67,True,Winter,30,86.67,180,245.81
2024-01-09 08:00:00+05:30,2024-01-09,2024,1,January,9,9,8,Tuesday,11.57,117.14,78.43,True,Winter,30,78.43,180,117.14
2024-01-09 09:00:00+05:30,2024-01-09,2024,1,January,9,9,9,Tuesday,24.07,123.5,65.93,True,Winter,30,65.93,180,123.5
2024-01-09 10:00:00+05:30,2024-01-09,2024,1,January,9,9,10,Tuesday,35.49,132.62,54.51,True,Winter,30,54.51,180,132.62
2024-01-09 11:00:00+05:30,2024-01-09,2024,1,January,9,9,11,Tuesday,44.98,145.95,45.02,True,Winter,30,45.02,180,145.95
2024-01-09 12:00:00+05:30,2024-01-09,2024,1,January,9,9,12,Tuesday,51.1,164.68,38.9,True,Winter,30,38.9,180,164.68
2024-01-09 13:00:00+05:30,2024-01-09,2024,1,January,9,9,13,Tuesday,52.17,187.07,37.83,True,Winter,30,37.83,180,187.07
2024-01-09 14:00:00+05:30,2024-01-09,2024,1,January,9,9,14,Tuesday,47.8,207.65,42.2,True,Winter,30,42.2,180,207.65
2024-01-09 15:00:00+05:30,2024-01-09,2024,1,January,9,9,15,Tuesday,39.38,222.96,50.62,True,Winter,30,50.62,180,222.96
2024-01-09 16:00:00+05:30,2024-01-09,2024,1,January,9,9,16,Tuesday,28.56,233.49,61.44,True,Winter,30,61.44,180,233.49
2024-01-09 17:00:00+05:30,2024-01-09,2024,1,January,9,9,17,Tuesday,16.39,240.77,73.61,True,Winter,30,73.61,180,240.77
2024-01-09 18:00:00+05:30,2024-01-09,2024,1,January,9,9,18,Tuesday,3.46,245.91,86.54,True,Winter,30,86.54,180,245.91
2024-01-10 08:00:00+05:30,2024-01-10,2024,1,January,10,10,8,Wednesday,11.54,116.97,78.46,True,Winter,30,78.46,180,116.97
2024-01-10 09:00:00+05:30,2024-01-10,2024,1,January,10,10,9,Wednesday,24.06,123.31,65.94,True,Winter,30,65.94,180,123.31
2024-01-10 10:00:00+05:30,2024-01-10,2024,1,January,10,10,10,Wednesday,35.51,132.41,54.49,True,Winter,30,54.49,180,132.41
2024-01-10 11:00:00+05:30,2024-01-10,2024,1,January,10,10,11,Wednesday,45.04,145.72,44.96,True,Winter,30,44.96,180,145.72
2024-01-10 12:00:00+05:30,2024-01-10,2024,1,January,10,10,12,Wednesday,51.21,164.46,38.79,True,Winter,30,38.79,180,164.46
2024-01-10 13:00:00+05:30,2024-01-10,2024,1,January,10,10,13,Wednesday,52.32,186.94,37.68,True,Winter,30,37.68,180,186.94
2024-01-10 14:00:00+05:30,2024-01-10,2024,1,January,10,10,14,Wednesday,47.97,207.63,42.03,True,Winter,30,42.03,180,207.63
2024-01-10 15:00:00+05:30,2024-01-10,2024,1,January,10,10,15,Wednesday,39.54,223.01,50.46,True,Winter,30,50.46,180,223.01
2024-01-10 16:00:00+05:30,2024-01-10,2024,1,January,10,10,16,Wednesday,28.71,233.57,61.29,True,Winter,30,61.29,180,233.57
2024-01-10 17:00:00+05:30,2024-01-10,2024,1,January,10,10,17,Wednesday,16.54,240.86,73.46,True,Winter,30,73.46,180,240.86
2024-01-10 18:00:00+05:30,2024-01-10,2024,1,January,10,10,18,Wednesday,3.6,246.02,86.4,True,Winter,30,86.4,180,246.02
2024-01-11 08:00:00+05:30,2024-01-11,2024,1,January,11,11,8,Thursday,11.5,116.8,78.5,True,Winter,30,78.5,180,116.8
2024-01-11 09:00:00+05:30,2024-01-11,2024,1,January,11,11,9,Thursday,24.05,123.12,65.95,True,Winter,30,65.95,180,123.12
2024-01-11 10:00:00+05:30,2024-01-11,2024,1,January,11,11,10,Thursday,35.53,132.2,54.47,True,Winter,30,54.47,180,132.2
2024-01-11 11:00:00+05:30,2024-01-11,2024,1,January,11,11,11,Thursday,45.11,145.49,44.89,True,Winter,30,44.89,180,145.49
2024-01-11 12:00:00+05:30,2024-01-11,2024,1,January,11,11,12,Thursday,51.33,164.25,38.67,True,Winter,30,38.67,180,164.25
2024-01-11 13:00:00+05:30,2024-01-11,2024,1,January,11,11,13,Thursday,52.48,186.82,37.52,True,Winter,30,37.52,180,186.82
2024-01-11 14:00:00+05:30,2024-01-11,2024,1,January,11,11,14,Thursday,48.14,207.61,41.86,True,Winter,30,41.86,180,207.61
2024-01-11 15:00:00+05:30,2024-01-11,2024,1,January,11,11,15,Thursday,39.72,223.06,50.28,True,Winter,30,50.28,180,223.06
2024-01-11 16:00:00+05:30,2024-01-11,2024,1,January,11,11,16,Thursday,28.88,233.66,61.12,True,Winter,30,61.12,180,233.66
2024-01-11 17:00:00+05:30,2024-01-11,2024,1,January,11,11,17,Thursday,16.69,240.96,73.31,True,Winter,30,73.31,180,240.96
2024-01-11 18:00:00+05:30,2024-01-11,2024,1,January,11,11,18,Thursday,3.74,246.14,86.26,True,Winter,30,86.26,180,246.14
2024-01-12 08:00:00+05:30,2024-01-12,2024,1,January,12,12,8,Friday,11.48,116.61,78.52,True,Winter,30,78.52,180,116.61
2024-01-12 09:00:00+05:30,2024-01-12,2024,1,January,12,12,9,Friday,24.05,122.92,65.95,True,Winter,30,65.95,180,122.92
2024-01-12 10:00:00+05:30,2024-01-12,2024,1,January,12,12,10,Friday,35.56,131.98,54.44,True,Winter,30,54.44,180,131.98
2024-01-12 11:00:00+05:30,2024-01-12,2024,1,January,12,12,11,Friday,45.18,145.25,44.82,True,Winter,30,44.82,180,145.25
2024-01-12 12:00:00+05:30,2024-01-12,2024,1,January,12,12,12,Friday,51.46,164.04,38.54,True,Winter,30,38.54,180,164.04
2024-01-12 13:00:00+05:30,2024-01-12,2024,1,January,12,12,13,Friday,52.65,186.7,37.35,True,Winter,30,37.35,180,186.7
2024-01-12 14:00:00+05:30,2024-01-12,2024,1,January,12,12,14,Friday,48.33,207.6,41.67,True,Winter,30,41.67,180,207.6
2024-01-12 15:00:00+05:30,2024-01-12,2024,1,January,12,12,15,Friday,39.89,223.12,50.11,True,Winter,30,50.11,180,223.12
2024-01-12 16:00:00+05:30,2024-01-12,2024,1,January,12,12,16,Friday,29.04,233.75,60.96,True,Winter,30,60.96,180,233.75
2024-01-12 17:00:00+05:30,2024-01-12,2024,1,January,12,12,17,Friday,16.84,241.07,73.16,True,Winter,30,73.16,180,241.07
2024-01-12 18:00:00+05:30,2024-01-12,2024,1,January,12,12,18,Friday,3.87,246.26,86.13,True,Winter,30,86.13,180,246.26
2024-01-13 08:00:00+05:30,2024-01-13,2024,1,January,13,13,8,Saturday,11.45,116.42,78.55,True,Winter,30,78.55,180,116.42
