Month,Month_Name,Hour,Solar_Elevation,Solar_Azimuth,Optimal_Tilt_Fixed,Optimal_Tilt_Tracking,Season,Recommended_Azimuth
1,January,8,11.51,115.61,30,78.49,Winter,180
1,January,9,24.19,121.88,30,65.81,Winter,180
1,January,10,35.85,130.87,30,54.15,Winter,180
1,January,11,45.67,144.12,30,44.33,Winter,180
1,January,12,52.18,163.11,30,37.82,Winter,180
1,January,13,53.54,186.35,30,36.46,Winter,180
1,January,14,49.22,207.88,30,40.78,Winter,180
1,January,15,40.7,223.71,30,49.3,Winter,180
1,January,16,29.75,234.47,30,60.25,Winter,180
1,January,17,17.46,241.84,30,72.54,Winter,180
1,January,18,4.41,247.08,30,85.59,Winter,180
2,February,7,0.48,99.63,30,89.52,Winter,180
2,February,8,13.27,107.51,30,76.73,Winter,180
2,February,9,26.82,113.36,30,63.18,Winter,180
2,February,10,39.64,121.75,30,50.36,Winter,180
2,February,11,51.04,134.85,30,38.96,Winter,180
2,February,12,59.34,156.19,30,30.66,Winter,180
2,February,13,61.66,186.05,30,28.34,Winter,180
2,February,14,56.68,213.32,30,33.32,Winter,180
2,February,15,46.9,231.05,30,43.1,Winter,180
2,February,16,34.83,242.0,30,55.17,Winter,180
2,February,17,21.68,249.24,30,68.32,Winter,180
2,February,18,7.96,254.47,30,82.04,Winter,180
3,March,7,3.62,92.67,15,86.38,Equinox,180
3,March,8,18.01,96.89,15,71.99,Equinox,180
3,March,9,32.25,101.98,15,57.75,Equinox,180
3,March,10,46.16,109.12,15,43.84,Equinox,180
3,March,11,59.26,121.12,15,30.74,Equinox,180
3,March,12,69.89,146.38,15,20.11,Equinox,180
3,March,13,72.44,195.11,15,17.56,Equinox,180
3,March,14,64.34,230.4,15,25.66,Equinox,180
3,March,15,52.01,246.56,15,37.99,Equinox,180
3,March,16,38.39,255.33,15,51.61,Equinox,180
3,March,17,24.28,261.16,15,65.72,Equinox,180
3,March,18,9.95,265.71,15,80.05,Equinox,180
4,April,7,8.63,81.97,15,81.37,Equinox,180
4,April,8,22.98,85.52,15,67.02,Equinox,180
4,April,9,37.4,89.12,15,52.6,Equinox,180
4,April,10,51.82,93.4,15,38.18,Equinox,180
4,April,11,66.11,100.12,15,23.89,Equinox,180
4,April,12,79.66,119.15,15,10.34,Equinox,180
4,April,13,81.38,232.59,15,8.62,Equinox,180
4,April,14,68.33,258.08,15,21.67,Equinox,180
4,April,15,54.11,265.78,15,35.89,Equinox,180
4,April,16,39.71,270.35,15,50.29,Equinox,180
4,April,17,25.3,274.04,15,64.7,Equinox,180
4,April,18,10.94,277.59,15,79.06,Equinox,180
5,May,7,11.53,73.28,0,78.47,Summer,180
5,May,8,25.47,76.01,0,64.53,Summer,180
5,May,9,39.54,77.94,0,50.46,Summer,180
5,May,10,53.69,78.87,0,36.31,Summer,180
5,May,11,67.82,77.6,0,22.18,Summer,180
